horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,C,epsilon
5,20,chronological_712,42,278.64426063848987,1480,,100.0,0.2
5,20,chronological_712,2024,379.79028126221016,1480,,10.0,0.05
5,20,chronological_712,2024,379.60794133355193,1480,,10.0,0.2
5,20,chronological_712,2024,278.70104542121675,1480,,100.0,0.05
5,20,chronological_712,2024,278.64426063848987,1480,,100.0,0.2
5,20,chronological_712,3407,379.79028126221016,1480,,10.0,0.05
5,20,chronological_712,3407,379.60794133355193,1480,,10.0,0.2
5,20,chronological_712,3407,278.70104542121675,1480,,100.0,0.05
5,20,chronological_712,3407,278.64426063848987,1480,,100.0,0.2
10,5,chronological_712,42,385.1331173494789,370,,10.0,0.05
10,5,chronological_712,42,385.1837480258177,370,,10.0,0.2
10,5,chronological_712,42,287.13873316415834,370,,100.0,0.05
10,5,chronological_712,42,287.0880089525573,370,,100.0,0.2
10,5,chronological_712,2024,385.1331173494789,370,,10.0,0.05
10,5,chronological_712,2024,385.1837480258177,370,,10.0,0.2
10,5,chronological_712,2024,287.13873316415834,370,,100.0,0.05
10,5,chronological_712,2024,287.0880089525573,370,,100.0,0.2
10,5,chronological_712,3407,385.1331173494789,370,,10.0,0.05
10,5,chronological_712,3407,385.1837480258177,370,,10.0,0.2
10,5,chronological_712,3407,287.13873316415834,370,,100.0,0.05
10,5,chronological_712,3407,287.0880089525573,370,,100.0,0.2
10,10,chronological_712,42,390.62929571821866,740,,10.0,0.05
10,10,chronological_712,42,390.49256400999263,740,,10.0,0.2
10,10,chronological_712,42,288.5415408568002,740,,100.0,0.05
10,10,chronological_712,42,288.65544738972665,740,,100.0,0.2
10,10,chronological_712,2024,390.62929571821866,740,,10.0,0.05
10,10,chronological_712,2024,390.49256400999263,740,,10.0,0.2
10,10,chronological_712,2024,288.5415408568002,740,,100.0,0.05
10,10,chronological_712,2024,288.65544738972665,740,,100.0,0.2
10,10,chronological_712,3407,390.62929571821866,740,,10.0,0.05
10,10,chronological_712,3407,390.49256400999263,740,,10.0,0.2
10,10,chronological_712,3407,288.5415408568002,740,,100.0,0.05
10,10,chronological_712,3407,288.65544738972665,740,,100.0,0.2
10,15,chronological_712,42,386.10990735202915,1110,,10.0,0.05
10,15,chronological_712,42,386.21033709160866,1110,,10.0,0.2
10,15,chronological_712,42,281.4626424020922,1110,,100.0,0.05
10,15,chronological_712,42,281.37790764086463,1110,,100.0,0.2
10,15,chronological_712,2024,386.10990735202915,1110,,10.0,0.05
10,15,chronological_712,2024,386.21033709160866,1110,,10.0,0.2
10,15,chronological_712,2024,281.4626424020922,1110,,100.0,0.05
10,15,chronological_712,2024,281.37790764086463,1110,,100.0,0.2
10,15,chronological_712,3407,386.10990735202915,1110,,10.0,0.05
10,15,chronological_712,3407,386.21033709160866,1110,,10.0,0.2
10,15,chronological_712,3407,281.4626424020922,1110,,100.0,0.05
10,15,chronological_712,3407,281.37790764086463,1110,,100.0,0.2
10,20,chronological_712,42,375.79840475917524,1480,,10.0,0.05
