month,is_complete_period,available_at,source_status,strict_backtest_eligible,pca_001,pca_002,pca_003,pca_004,pca_005,pca_006,pca_007,pca_008,pca_009,pca_010,pca_011,pca_012,pca_013,pca_014,pca_015,pca_016,pca_017,pca_018,pca_019,pca_020,pca_021,pca_022,pca_023,pca_024,pca_025,pca_026,pca_027,pca_028,pca_029,pca_030,pca_031,pca_032
2019-07-01,True,,legacy_unknown_provenance,False,0.14111063,-0.07584408,-0.057069506,0.2908207,0.08050187,-0.004397461,-0.17150551,0.14924195,0.024713816,-0.067564115,0.03914184,0.093148984,0.016931867,0.069227345,0.003322227,0.005692681,0.021931577,0.039049666,0.062502995,-0.051612727,-0.06994924,0.019306421,0.00480367,-0.047136296,0.028865451,0.075482994,0.08093291,0.001272339,-0.04015544,0.014385089,-0.028612783,0.04035286
2019-08-01,True,,legacy_unknown_provenance,False,-0.17652667,0.20573474,0.000456513,0.013328684,-0.094691835,-0.07944182,-0.09056923,0.10464339,0.16445692,0.13725086,-0.047512233,-0.012790601,-0.002944748,-0.000464241,-0.1906086,0.01511291,0.016822305,0.013381973,-0.061316885,0.05722085,-0.024483766,0.012325636,0.027152048,-0.012068921,0.09660852,0.003833843,-0.13113146,0.010583174,-0.14688984,0.026629608,-0.11163109,0.043849535
2019-09-01,True,,legacy_unknown_provenance,False,0.20830831,0.16465358,-0.086914934,0.4573545,0.03471837,-0.10712298,-0.09436922,0.047157623,0.031845298,0.13470404,0.06768217,0.007420316,-0.08015982,0.026770854,0.018063426,0.022729285,0.1194004,-0.022882447,0.08002567,-0.006934995,-0.03277231,0.08805842,0.009968225,0.032196708,0.056007057,-0.019019734,-0.003968791,0.04045834,0.011196306,-0.043571647,0.034249585,-1.9e-05
2019-10-01,True,,legacy_unknown_provenance,False,-0.2872108,-0.20579304,-0.029886454,0.025580442,-0.117591046,-0.1345496,0.02587473,0.11842428,-0.014710262,0.06939243,0.127809,-0.074226156,-0.10496962,0.006869733,0.06677316,0.011737101,0.042121783,-0.010346377,-0.047071263,-0.015109178,-0.03030584,0.054846816,0.003163665,0.06833987,0.044422034,0.0950068,-0.024807874,-0.05297635,0.029589444,-0.0633009,-0.067780524,0.018852223
2019-11-01,True,,legacy_unknown_provenance,False,0.29138085,0.025592187,-0.16527098,0.50897944,-0.10446842,-0.055504173,0.090504296,0.0111014,0.05553763,-0.10947965,0.13772461,0.04841397,-0.082872935,-0.09703903,0.074540116,-0.058082514,0.04265386,-0.006581096,0.0152187,-0.03453388,0.042823583,0.015713546,0.021540947,0.006800043,0.02982065,-0.049402803,-0.06671254,0.007274868,-0.030565405,0.024565946,-0.02096783,-0.036790222
2019-12-01,True,,legacy_unknown_provenance,False,0.30296758,0.053055327,-0.18445951,0.5143335,-0.060309768,0.023402316,0.087157145,-0.023803057,0.016810877,-0.05525671,0.06565644,-0.014405386,-0.06415375,-0.007145637,0.08657737,-0.028155668,-0.040735338,0.023238968,0.038568452,-0.029505782,0.020322891,0.01690472,-0.05663781,0.023568131,0.012789526,-0.01555282,-0.048935868,0.003374055,-0.019926408,-0.016348768,-0.053295005,0.000976322
2020-01-01,True,,legacy_unknown_provenance,False,0.30880222,0.07873479,-0.20194618,0.46550936,-0.07419538,0.07766792,0.040263593,-0.04249771,0.063467346,-0.12150958,-0.0545628,-0.013510262,-0.04786438,-0.05274274,-0.05355111,-0.018318204,-0.073550254,-0.05998064,0.021739151,0.077014424,0.075437285,-0.0759638,0.000938119,-0.009384662,-0.095525615,-0.038656265,-0.011548134,-0.000865559,0.034233946,-0.016573573,-0.09932597,0.020557202
2020-02-01,True,,legacy_unknown_provenance,False,0.21259552,0.052657217,-0.15314326,0.3252589,0.074140124,0.07893857,-0.14094065,-0.048538823,-0.11083815,0.028529968,-0.004334197,0.024437346,0.14562513,-0.039093167,-0.00297575,-0.008397621,-0.11947577,-0.07722624,-0.04499983,0.10675612,-0.04764301,-0.050164513,0.034449477,-0.05453847,-0.053292584,0.05613689,0.043675315,0.026118893,-0.029895507,-0.028688168,-0.028444244,-0.045655895
2020-03-01,True,,legacy_unknown_provenance,False,-0.35761508,0.10297588,-0.1132506,-0.000744095,-0.114518456,0.050520845,0.010119843,-0.15540409,0.13011575,-0.08762688,-0.03836726,-0.14279857,0.07384431,0.09620977,-0.018277692,-0.021159714,-0.005402445,-0.012924393,-0.013319629,0.11784704,-0.030157823,-0.07514213,0.0882161,-0.016784046,-0.00186638,-0.005182306,0.010679014,-0.053709738,0.056615088,-0.01978826,-0.051919386,-0.020737404
2020-04-01,True,,legacy_unknown_provenance,False,-0.43093887,0.13894224,-0.11239677,0.01762908,-0.014474005,0.09925462,0.12916158,-0.10092415,0.04758238,-0.015015652,-0.052020438,0.037057433,-0.08246221,-0.035371285,0.017902048,0.0759124,-0.048751686,0.06735193,-0.025927518,0.052732706,0.020596575,-0.1011042,0.005717517,0.026631737,0.06846867,0.016966728,-0.047304608,-0.107566714,0.045788627,-0.02958928,0.023110308,0.05915299
