output_root,run_dir,comparison_path,model,model_type,architecture,algo_base,graph_builder,graph_transform,objective,class_weight,feature_set,horizon,lookback,train_window_mode,min_train_periods,max_train_periods,pred_rows,agent_status,agent_pass,BalancedAcc,AUC,AP,DirAcc,R2_health,pred_constant_flag,health_flag,robust30_flag,exclusion_reason
framework_tsl_graph_shortlookback_directionbce_20260709_032526,tsl_evolvegcn_direction_bce_tiny_corr_abs_top3_no_pca_lb3_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_shortlookback_directionbce_20260709_032526/tsl_evolvegcn_direction_bce_tiny_corr_abs_top3_no_pca_lb3_h2_s42/comparison.csv,tsl_evolvegcn_direction_bce_tiny_corr_abs_top3_no_pca_lb3_h2_s42,tsl_graph,evolvegcn,evolvegcn,corr_abs_top3,,direction_bce,balanced,no_pca,2,3,expanding,24,,92,invalid,False,0.5,0.5525,0.6478,0.4239,,True,False,True,constant prediction; agent_pass != true; health_flag != true
graph_official_framework_shortlookback_20260709_000325,graphfw_nearest_centroid_corr_abs_top3_smooth_only_with_pca_lb1_h2,/root/corn_spike_sota/outputs/graph_official_framework_shortlookback_20260709_000325/graphfw_nearest_centroid_corr_abs_top3_smooth_only_with_pca_lb1_h2/comparison.csv,graphfw_nearest_centroid_corr_abs_top3_smooth_only_with_pca_lb1_h2,graph_official_pool,,nearest_centroid,corr_abs_top3,smooth_only,,,with_pca,2,1,expanding,24,,94,no_signal,False,0.5578,0.4998,0.6475,0.5106,-4.6524,False,False,True,R2_health < -0.1; agent_pass != true; health_flag != true
graph_official_framework_shortlookback_20260709_000325,graphfw_mlp_small_relu_corr_abs_top3_smooth_only_no_pca_lb1_h2,/root/corn_spike_sota/outputs/graph_official_framework_shortlookback_20260709_000325/graphfw_mlp_small_relu_corr_abs_top3_smooth_only_no_pca_lb1_h2/comparison.csv,graphfw_mlp_small_relu_corr_abs_top3_smooth_only_no_pca_lb1_h2,graph_official_pool,,mlp_small_relu,corr_abs_top3,smooth_only,,,no_pca,2,1,expanding,24,,94,no_signal,False,0.5198,0.5532,0.6471,0.5426,-182.8944,False,False,True,R2_health < -0.1; agent_pass != true; health_flag != true
framework_tsl_other_official_graphs_directionbce_20260709_093209,tsl_rnnencgcndec_direction_bce_tiny_corr_abs_top8_no_pca_lb2_h2_s42,/root/corn_spike_sota/outputs/framework_tsl_other_official_graphs_directionbce_20260709_093209/tsl_rnnencgcndec_direction_bce_tiny_corr_abs_top8_no_pca_lb2_h2_s42/comparison.csv,tsl_rnnencgcndec_direction_bce_tiny_corr_abs_top8_no_pca_lb2_h2_s42,tsl_graph,rnnencgcndec,rnnencgcndec,corr_abs_top8,,direction_bce,balanced,no_pca,2,2,expanding,24,,93,invalid,False,0.5,0.5764,0.6468,0.4301,,True,False,True,constant prediction; agent_pass != true; health_flag != true
graph_official_framework_shortlookback_20260709_000325,graphfw_mlp_small_tanh_group_prefix_graph_stats_with_pca_lb1_h2,/root/corn_spike_sota/outputs/graph_official_framework_shortlookback_20260709_000325/graphfw_mlp_small_tanh_group_prefix_graph_stats_with_pca_lb1_h2/comparison.csv,graphfw_mlp_small_tanh_group_prefix_graph_stats_with_pca_lb1_h2,graph_official_pool,,mlp_small_tanh,group_prefix,graph_stats,,,with_pca,2,1,expanding,24,,94,no_signal,False,0.5334,0.5453,0.6466,0.4894,-249.4153,False,False,True,R2_health < -0.1; agent_pass != true; health_flag != true
graph_official_framework_shortlookback_20260709_000325,graphfw_svc_rbf_corr_abs_top8_smooth_only_with_pca_lb2_h1,/root/corn_spike_sota/outputs/graph_official_framework_shortlookback_20260709_000325/graphfw_svc_rbf_corr_abs_top8_smooth_only_with_pca_lb2_h1/comparison.csv,graphfw_svc_rbf_corr_abs_top8_smooth_only_with_pca_lb2_h1,graph_official_pool,,svc_rbf,corr_abs_top8,smooth_only,,,with_pca,1,2,expanding,24,,95,no_signal,False,0.4996,0.5966,0.6464,0.4947,-0.4909,False,False,True,R2_health < -0.1; agent_pass != true; health_flag != true
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top3_no_pca_lb6_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top3_no_pca_lb6_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top3_no_pca_lb6_h1_s43,tsl_graph,grugcn,grugcn,corr_abs_top3,,direction_bce,balanced,no_pca,1,6,expanding,108,,7,invalid,False,0.5,0.5833,0.6458,0.4286,,True,False,False,pred_rows < 30; constant prediction; agent_pass != true; health_flag != true; robust30_flag != true
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top5_no_pca_lb6_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top5_no_pca_lb6_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top5_no_pca_lb6_h1_s43,tsl_graph,grugcn,grugcn,corr_abs_top5,,direction_bce,balanced,no_pca,1,6,expanding,108,,7,invalid,False,0.5,0.5833,0.6458,0.4286,,True,False,False,pred_rows < 30; constant prediction; agent_pass != true; health_flag != true; robust30_flag != true
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_corr_abs_top8_no_pca_lb6_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_corr_abs_top8_no_pca_lb6_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_corr_abs_top8_no_pca_lb6_h1_s43,tsl_graph,grugcn,grugcn,corr_abs_top8,,direction_bce,balanced,no_pca,1,6,expanding,108,,7,invalid,False,0.5,0.5833,0.6458,0.4286,,True,False,False,pred_rows < 30; constant prediction; agent_pass != true; health_flag != true; robust30_flag != true
framework_tsl_graph_grugcn_focus_directionbce_20260709_040622,tsl_grugcn_direction_bce_small_knn_cosine_top5_no_pca_lb6_h1_s43,/root/corn_spike_sota/outputs/framework_tsl_graph_grugcn_focus_directionbce_20260709_040622/tsl_grugcn_direction_bce_small_knn_cosine_top5_no_pca_lb6_h1_s43/comparison.csv,tsl_grugcn_direction_bce_small_knn_cosine_top5_no_pca_lb6_h1_s43,tsl_graph,grugcn,grugcn,knn_cosine_top5,,direction_bce,balanced,no_pca,1,6,expanding,108,,7,invalid,False,0.5,0.5833,0.6458,0.4286,,True,False,False,pred_rows < 30; constant prediction; agent_pass != true; health_flag != true; robust30_flag != true
