output_root,run_dir,comparison_path,model,model_type,architecture,algo_base,graph_builder,graph_transform,objective,class_weight,feature_set,horizon,lookback,train_window_mode,min_train_periods,max_train_periods,pred_rows,agent_status,agent_pass,BalancedAcc,AUC,AP,DirAcc,R2_health,pred_constant_flag,health_flag,robust30_flag
framework_tsl_graph_classbalanced_focus_20260709_0524,tsl_graph_wavenet_direction_bce_tiny_corr_abs_top3_no_pca_lb2_h1_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_classbalanced_focus_20260709_0524/tsl_graph_wavenet_direction_bce_tiny_corr_abs_top3_no_pca_lb2_h1_s42/comparison.csv,tsl_graph_wavenet_direction_bce_tiny_corr_abs_top3_no_pca_lb2_h1_s42,tsl_graph,graph_wavenet,graph_wavenet,corr_abs_top3,,direction_bce,balanced,no_pca,1,2,expanding,24,,95,no_signal,False,0.5013,0.5492,0.5297,0.5053,,False,True,True
framework_tsl_graph_classbalanced_focus_20260709_0524,tsl_graph_wavenet_direction_bce_tiny_knn_cosine_top5_no_pca_lb2_h1_s42,/root/corn_spike_sota/outputs/framework_tsl_graph_classbalanced_focus_20260709_0524/tsl_graph_wavenet_direction_bce_tiny_knn_cosine_top5_no_pca_lb2_h1_s42/comparison.csv,tsl_graph_wavenet_direction_bce_tiny_knn_cosine_top5_no_pca_lb2_h1_s42,tsl_graph,graph_wavenet,graph_wavenet,knn_cosine_top5,,direction_bce,balanced,no_pca,1,2,expanding,24,,95,no_signal,False,0.5013,0.5479,0.5302,0.5053,,False,True,True
framework_pyg_mtgnn_recentcap_focus_20260709_0513_cap48,tsl_pyg_mtgnn_direction_bce_tiny_spearman_abs_top5_no_pca_lb14_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_recentcap_focus_20260709_0513_cap48/tsl_pyg_mtgnn_direction_bce_tiny_spearman_abs_top5_no_pca_lb14_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_spearman_abs_top5_no_pca_lb14_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,spearman_abs_top5,,direction_bce,,no_pca,2,14,expanding_with_cap,24,48.0,81,no_signal,False,0.5013,0.5153,0.6514,0.5802,,False,True,True
framework_pyg_mtgnn_recentcap_focus_20260709_0513_cap48,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_no_pca_lb14_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_recentcap_focus_20260709_0513_cap48/tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_no_pca_lb14_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_corr_abs_top5_no_pca_lb14_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,corr_abs_top5,,direction_bce,,no_pca,2,14,expanding_with_cap,24,48.0,81,no_signal,False,0.5013,0.5147,0.6511,0.5802,,False,True,True
framework_pyg_mtgnn_recentcap_focus_20260709_0513_cap48,tsl_pyg_mtgnn_direction_bce_tiny_glasso_alpha05_no_pca_lb14_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_recentcap_focus_20260709_0513_cap48/tsl_pyg_mtgnn_direction_bce_tiny_glasso_alpha05_no_pca_lb14_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_glasso_alpha05_no_pca_lb14_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,glasso_alpha05,,direction_bce,,no_pca,2,14,expanding_with_cap,24,48.0,81,no_signal,False,0.5013,0.5147,0.6511,0.5802,,False,True,True
framework_pyg_mtgnn_recentcap_focus_20260709_0513_cap48,tsl_pyg_mtgnn_direction_bce_tiny_knn_euclidean_top5_no_pca_lb14_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_mtgnn_recentcap_focus_20260709_0513_cap48/tsl_pyg_mtgnn_direction_bce_tiny_knn_euclidean_top5_no_pca_lb14_h2_s42/comparison.csv,tsl_pyg_mtgnn_direction_bce_tiny_knn_euclidean_top5_no_pca_lb14_h2_s42,tsl_graph,pyg_mtgnn,pyg_mtgnn,knn_euclidean_top5,,direction_bce,,no_pca,2,14,expanding_with_cap,24,48.0,81,no_signal,False,0.5013,0.514,0.6509,0.5802,,False,True,True
framework_pyg_temporal_attention_directionbce_20260709_022859,tsl_pyg_mstgcn_direction_bce_tiny_corr_abs_top3_with_pca_lb6_h2_s42,/root/corn_spike_sota/outputs/framework_pyg_temporal_attention_directionbce_20260709_022859/tsl_pyg_mstgcn_direction_bce_tiny_corr_abs_top3_with_pca_lb6_h2_s42/comparison.csv,tsl_pyg_mstgcn_direction_bce_tiny_corr_abs_top3_with_pca_lb6_h2_s42,tsl_graph,pyg_mstgcn,pyg_mstgcn,corr_abs_top3,,direction_bce,balanced,with_pca,2,6,expanding,24,,89,no_signal,False,0.5013,0.5094,0.6194,0.4719,,False,True,True
graph_official_framework_top_20260708_235757,graphfw_gradient_boosting_corr_abs_top8_raw_diffuse2_with_pca_lb6_h1,/root/corn_spike_sota/outputs/graph_official_framework_top_20260708_235757/graphfw_gradient_boosting_corr_abs_top8_raw_diffuse2_with_pca_lb6_h1/comparison.csv,graphfw_gradient_boosting_corr_abs_top8_raw_diffuse2_with_pca_lb6_h1,graph_official_pool,,gradient_boosting,corr_abs_top8,raw_diffuse2,,,with_pca,1,6,expanding,24,,91,no_signal,False,0.501,0.5029,0.4663,0.5055,-0.0116,False,True,True
graph_official_recentcap_focus_20260709_0521_cap48,graphfw_logistic_l1_liblinear_corr_abs_top3_smooth_only_with_pca_lb3_h1,/root/corn_spike_sota/outputs/graph_official_recentcap_focus_20260709_0521_cap48/graphfw_logistic_l1_liblinear_corr_abs_top3_smooth_only_with_pca_lb3_h1/comparison.csv,graphfw_logistic_l1_liblinear_corr_abs_top3_smooth_only_with_pca_lb3_h1,graph_official_pool,,logistic_l1_liblinear,corr_abs_top3,smooth_only,,,with_pca,1,3,expanding_with_cap,24,48.0,94,no_signal,False,0.5009,0.5403,0.5487,0.5,-0.0118,False,True,True
graph_official_framework_shortlookback_20260709_000325,graphfw_bagging_extra_tree_knn_cosine_top5_graph_stats_no_pca_lb3_h1,/root/corn_spike_sota/outputs/graph_official_framework_shortlookback_20260709_000325/graphfw_bagging_extra_tree_knn_cosine_top5_graph_stats_no_pca_lb3_h1/comparison.csv,graphfw_bagging_extra_tree_knn_cosine_top5_graph_stats_no_pca_lb3_h1,graph_official_pool,,bagging_extra_tree,knn_cosine_top5,graph_stats,,,no_pca,1,3,expanding,24,,94,no_signal,False,0.5009,0.4697,0.499,0.5,-0.02,False,True,True
