horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,n_neighbors,weights
20,10,chronological_712,2024,254.87470041000716,740,,5,uniform
20,10,chronological_712,2024,256.15785583785623,740,,5,distance
20,10,chronological_712,2024,209.4889393671459,740,,15,uniform
20,10,chronological_712,2024,211.32322615930943,740,,15,distance
20,10,chronological_712,3407,254.87470041000716,740,,5,uniform
20,10,chronological_712,3407,256.15785583785623,740,,5,distance
20,10,chronological_712,3407,209.4889393671459,740,,15,uniform
20,10,chronological_712,3407,211.32322615930943,740,,15,distance
20,15,chronological_712,42,260.7291829644604,1110,,5,uniform
20,15,chronological_712,42,262.02413515669264,1110,,5,distance
20,15,chronological_712,42,216.70430030264762,1110,,15,uniform
20,15,chronological_712,42,218.92749257561945,1110,,15,distance
20,15,chronological_712,2024,260.7291829644604,1110,,5,uniform
20,15,chronological_712,2024,262.02413515669264,1110,,5,distance
20,15,chronological_712,2024,216.70430030264762,1110,,15,uniform
20,15,chronological_712,2024,218.92749257561945,1110,,15,distance
20,15,chronological_712,3407,260.7291829644604,1110,,5,uniform
20,15,chronological_712,3407,262.02413515669264,1110,,5,distance
20,15,chronological_712,3407,216.70430030264762,1110,,15,uniform
20,15,chronological_712,3407,218.92749257561945,1110,,15,distance
20,20,chronological_712,42,279.81861933407396,1480,,5,uniform
20,20,chronological_712,42,280.8026402041296,1480,,5,distance
20,20,chronological_712,42,225.54799363500277,1480,,15,uniform
20,20,chronological_712,42,227.98729703161962,1480,,15,distance
20,20,chronological_712,2024,279.81861933407396,1480,,5,uniform
20,20,chronological_712,2024,280.8026402041296,1480,,5,distance
20,20,chronological_712,2024,225.54799363500277,1480,,15,uniform
20,20,chronological_712,2024,227.98729703161962,1480,,15,distance
20,20,chronological_712,3407,279.81861933407396,1480,,5,uniform
20,20,chronological_712,3407,280.8026402041296,1480,,5,distance
20,20,chronological_712,3407,225.54799363500277,1480,,15,uniform
20,20,chronological_712,3407,227.98729703161962,1480,,15,distance
