horizon,lookback,split_tuning_skeleton,seed,validation_rmse,selected_feature_count,best_epoch,n_estimators,max_depth
20,15,chronological_712,42,224.85278571750337,1110,,600,
20,15,chronological_712,2024,226.8132121641817,1110,,300,8.0
20,15,chronological_712,2024,228.63600494797885,1110,,300,
20,15,chronological_712,2024,225.63180824096128,1110,,600,8.0
20,15,chronological_712,2024,226.56281135389062,1110,,600,
20,15,chronological_712,3407,225.62146902179836,1110,,300,8.0
20,15,chronological_712,3407,231.8461163635508,1110,,300,
20,15,chronological_712,3407,226.13469080775826,1110,,600,8.0
20,15,chronological_712,3407,227.90760466415506,1110,,600,
20,20,chronological_712,42,230.4068290010865,1480,,300,8.0
20,20,chronological_712,42,236.14018050549407,1480,,300,
20,20,chronological_712,42,231.9327158061985,1480,,600,8.0
20,20,chronological_712,42,234.66635779415145,1480,,600,
20,20,chronological_712,2024,230.71910764271308,1480,,300,8.0
20,20,chronological_712,2024,233.5678234807588,1480,,300,
20,20,chronological_712,2024,233.31720407060058,1480,,600,8.0
20,20,chronological_712,2024,233.49627065851726,1480,,600,
20,20,chronological_712,3407,232.82072202330767,1480,,300,8.0
20,20,chronological_712,3407,232.51764104356735,1480,,300,
20,20,chronological_712,3407,232.3620034501944,1480,,600,8.0
20,20,chronological_712,3407,230.78390971183012,1480,,600,
