"dataset","model","run_id","horizon","lookback","seed","validation_rmse","selected_feature_count","best_epoch","base_fixed_params","selected_grid_params"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","5","2024","84.12678257293508","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","5","3407","83.53047322408713","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","10","42","97.02569392881023","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","10","2024","94.72005182056968","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","10","3407","95.17577418709804","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","15","42","105.73306447469986","1110","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","15","2024","102.02197783471004","1110","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","15","3407","102.03791220232885","1110","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","20","42","107.14135104912748","1480","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","20","2024","110.9754857759377","1480","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","5","20","3407","108.30654140642011","1480","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","5","42","134.97012686275036","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","5","2024","134.17596768734245","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","5","3407","135.08247197852432","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","10","42","147.61038607004124","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","10","2024","147.46888365269493","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","10","3407","147.80387392214044","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","15","42","153.9388231750926","1110","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","15","2024","154.5713523586567","1110","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","15","3407","153.5021104353572","1110","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","20","42","160.20072294239125","1480","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","20","2024","162.514979997886","1480","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","10","20","3407","162.8931917704367","1480","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","5","42","186.94025116776328","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","5","2024","184.3108384053882","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","5","3407","186.07800346596355","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","10","42","193.47284517384443","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","10","2024","192.4056229173918","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","10","3407","193.01064227439767","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","15","42","203.0460167660317","1110","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","15","2024","201.9808896239239","1110","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","15","3407","200.87171074671264","1110","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","20","42","209.1487043944333","1480","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","20","2024","210.84297609383637","1480","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","15","20","3407","211.2867354869797","1480","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","20","5","42","208.10600569654076","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","20","5","2024","208.0019428001885","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","20","5","3407","207.54088117993322","370","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","20","10","42","216.0190037948729","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","20","10","2024","218.17175278696897","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth="
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","20","10","3407","217.77000222643815","740","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","20","15","42","221.28178667159438","1110","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=300; max_depth=8.0"
"corn_factors_daily_v2","random_forest","2026-07-20-16-27-20-model-catalog-autodl","20","15","2024","225.63180824096128","1110","","min_samples_leaf=2; max_features=sqrt; n_jobs=-1","n_estimators=600; max_depth=8.0"
